GEOID20,District
040050022011029,9
040050022011060,9
040050022011061,9
040050022011064,9
040050022011070,9
040050022011071,9
040050022011072,9
040050022011073,9
040050022011074,9
040050022011075,9
040050022011076,9
040050022011081,9
040050022011082,9
040050022011083,9
040050022011084,9
040050022011085,9
040050022011108,9
040050022011110,9
040050022011111,9
040050022011112,9
040050022011114,9
040050022011115,9
040050022011116,9
040050022011118,9
040050022011119,9
040050022011123,9
040050022011125,9
040050022011126,9
040050022011127,9
040050022011128,9
040050022011129,9
040050022011130,9
040050022011131,9
040050022011132,9
040050022011133,9
040050022011134,9
040050022011135,9
040050022013273,9
040050022013280,9
040050022013281,9
040050022013284,9
040050022013287,9
040050022013293,9
040050022013294,9
040050022013295,9
040050022013300,9
040050022013302,9
040050022013303,9
040050022013304,9
040050022013305,9
040050022013306,9
040050022013307,9
040050022013308,9
040050022013309,9
040050022013310,9
040050022013311,9
040050022013312,9
040050022013313,9
040050022013314,9
040050022013315,9
040050022013316,9
040050022013317,9
040050022013318,9
040050022013319,9
040050022013320,9
040050022013321,9
040050022013324,9
040050022013325,9
040050022013326,9
040050022013327,9
040050022013328,9
040050022013329,9
040050022013330,9
040050022013344,9
040050022013345,9
040050023021051,9
040059801001000,9
040059801001001,9
040059801001002,9
040059801001003,9
040059801001004,9
040059801001005,9
040059801001006,9
040059801001007,9
040059801001008,9
040059801001009,9
040059801001010,9
040059801001011,9
040059801001012,9
040059801001013,9
040059801001014,9
040059801001015,9
040059801001016,9
040059801001017,9
040059801001018,9
040059801001019,9
040059801001020,9
040059801001021,9
040059801001022,9
040059801001023,9
040059801001024,9
040059801001025,9
040059801001026,9
040059801001027,9
040059801001028,9
040059801001029,9
040059801001030,9
040059801001031,9
040059801001032,9
040059801001033,9
040059801001034,9
040059801001042,9
040059801001043,9
040059801001044,9
040059801001045,9
040059801001046,9
040050017001000,9
040050017001001,9
040050017001002,9
040050017001003,9
040050017001004,9
040050017001005,9
040050017001006,9
040050017001007,9
040050017001008,9
040050017001009,9
040050017001010,9
040050017001011,9
040050017001012,9
040050017001013,9
040050017001014,9
040050017001015,9
040050017001016,9
040050017001017,9
040050017001018,9
040050017001019,9
040050017001020,9
040050017001021,9
040050017001022,9
040050017001023,9
040050017001024,9
040050017001025,9
040050017001026,9
040050017001027,9
040050017001028,9
040050017001029,9
040050017001030,9
040050017001031,9
040050017001032,9
040050017001033,9
040050017001034,9
040050017001035,9
040050017001036,9
040050017001037,9
040050017001038,9
040050017001039,9
040050017001040,9
040050017001041,9
040050017001042,9
040050017001043,9
040050017001044,9
040050017001045,9
040050017001046,9
040050017001047,9
040050017001048,9
040050017001049,9
040050017001050,9
040050017001051,9
040050017001052,9
040050017001053,9
040050017001054,9
040050017001055,9
040050017001056,9
040050017001057,9
040050017001058,9
040050017001059,9
040050017001060,9
040050017001061,9
040050017001062,9
040050017001063,9
040050017001064,9
040050017001065,9
040050017001066,9
040050017001067,9
040050017001068,9
040050017001069,9
040050017001070,9
040050017001071,9
040050017001072,9
040050017001073,9
040050017001074,9
040050017001075,9
040050017001076,9
040050017001077,9
040050017001078,9
040050017001079,9
040050017002000,9
040050017002001,9
040050017002002,9
040050017002003,9
040050017002004,9
040050017002005,9
040050017002006,9
040050017002007,9
040050017002008,9
040050017002009,9
040050017002010,9
040050017002011,9
040050017002012,9
040050017002013,9
040050017002014,9
040050017002015,9
040050017002016,9
040050017002017,9
040050017002018,9
040050017002019,9
040050017002020,9
040050017002021,9
040050017002022,9
040050017002023,9
040050017002024,9
040050017002025,9
040050017002026,9
040050017002027,9
040050017002028,9
040050017002031,9
040050017002032,9
040050017002038,9
040050017002039,9
040050017002040,9
040050017002041,9
040050017002042,9
040050017002043,9
040050017002044,9
040050017002045,9
040050017002046,9
040050017002047,9
040050017002048,9
040050017002052,9
040050017002053,9
040050017002054,9
040050017002055,9
040050017002056,9
040050017003000,9
040050017003002,9
040050017003045,9
040050017003046,9
040050017003047,9
040050017004020,9
040050022012507,9
040050022013064,9
040050022013067,9
040050022013068,9
040050022013187,9
040050022013188,9
040050022013191,9
040050022013192,9
040050022013193,9
040050022013194,9
040050022013195,9
040050022013196,9
040050022013197,9
040050022013198,9
040050022013199,9
040050022013206,9
040050022013207,9
040050022013215,9
040050022013336,9
040050022013337,9
040050023012046,9
040050023012047,9
040050023012048,9
040050023012049,9
040050023013484,9
040050023013487,9
040050023013488,9
040050023013489,9
040050023013490,9
040050023013491,9
040050023013492,9
040050023013493,9
040050023013494,9
040050023013495,9
040050023013496,9
040050023013497,9
040050023013498,9
040050023013499,9
040050023013500,9
040050023013502,9
040050023013503,9
040050023013504,9
040050023013505,9
040050023013506,9
040050023013507,9
040050023013508,9
040050023013509,9
040050023013510,9
040050023013511,9
040050023013512,9
040050023013513,9
040050023013514,9
040050023013515,9
040050023013516,9
040050023013517,9
040050023013518,9
040050023013519,9
040050023013521,9
040050023013522,9
040050023013523,9
040050023013524,9
040050023013525,9
040050023013526,9
040050023013527,9
040050023013528,9
040050023013529,9
040050023013530,9
040050023013531,9
040050023013532,9
040050023013533,9
040050023013534,9
040050023013535,9
040050023013536,9
040050023013537,9
040050023013538,9
040050023013539,9
040050023013540,9
040050023013541,9
040050023013542,9
040050023013543,9
040050023013544,9
040050023013545,9
040050023013546,9
040050023013547,9
040050023013548,9
040050023013549,9
040050023013550,9
040050023013551,9
040050023013552,9
040050023013553,9
040050023013554,9
040050023013555,9
040050023013556,9
040050023013557,9
040050023013558,9
040050023013559,9
040050023013560,9
040050023013561,9
040050023013562,9
040050023013563,9
040050023013564,9
040050023013565,9
040050023013566,9
040050023013567,9
040050023013573,9
040050023013676,9
040050023013677,9
040050023013678,9
040050023013679,9
040050023013680,9
040050023013681,9
040050023021005,9
040050023021006,9
040050023021007,9
040050023021008,9
040050023021052,9
040050023021053,9
040050023021059,9
040050023021060,9
040050023021061,9
040050023022000,9
040050023022001,9
040050023022002,9
040050023022003,9
040050023022004,9
040050023022005,9
040050023022006,9
040050023022007,9
040050023022008,9
040050023022009,9
040050023022010,9
040050023022011,9
040050023022012,9
040050023022013,9
040050023022014,9
040050023022015,9
040050023022016,9
040050023022017,9
040050023022018,9
040050023022019,9
040050023022020,9
040050023022021,9
040050023022022,9
040050023022023,9
040050023022024,9
040050023022025,9
040050023022026,9
040050023022027,9
040050023022028,9
040050023022029,9
040050023022030,9
040050023022031,9
040050023022032,9
040050023022033,9
040050023022034,9
040050023022035,9
040050023022036,9
040050023022037,9
040050023022038,9
040050023022039,9
040050023022040,9
040050023022041,9
040050023022042,9
040050023022043,9
040050023022044,9
040050023022045,9
040050023022046,9
040050023022047,9
040050023022048,9
040050023022049,9
040050023022050,9
040050023022051,9
040050023022052,9
040050023022053,9
040050023022054,9
040050023022055,9
040050023022056,9
040050023022057,9
040050023022058,9
040050023022059,9
040050023022060,9
040050023022061,9
040050023022062,9
040050023022063,9
040050023022064,9
040050023022065,9
040050023022066,9
040050023022067,9
040050023022068,9
040050023022069,9
040050023022070,9
040050023022071,9
040050023022072,9
040050023022073,9
040050023022074,9
040050023022075,9
040050023022076,9
040050023022077,9
040050023022078,9
040050023022079,9
040050023022080,9
040050023022081,9
040050023022082,9
040050023022083,9
040050023022084,9
040050023022085,9
040050023022086,9
040050023022087,9
040050023022088,9
040050023022089,9
040050023022090,9
040050023022091,9
040050023022092,9
040050023022093,9
040050023022094,9
040050023022095,9
040050023022096,9
040050023022097,9
040050023022098,9
040050023022099,9
040050023022100,9
040050023022101,9
040050023022104,9
040050023022105,9
040050023022106,9
040050023022107,9
040050023022108,9
040050023022109,9
040050023022110,9
040050023022111,9
040050023022112,9
040050023022113,9
040050023022114,9
040050023022115,9
040050023022116,9
040050023022117,9
040050023022118,9
040050023022119,9
040050023022120,9
040050023022121,9
040050023022122,9
040050023022123,9
040050023022124,9
040050023022126,9
040050023022142,9
040050023022143,9
040050023022144,9
040050023022145,9
040050023022146,9
040050023022147,9
040050023022148,9
040050023022149,9
040050023022150,9
040050023022151,9
040050023022152,9
040050023022153,9
040050023022154,9
040050023022155,9
040050023022162,9
040050023022165,9
040050023022166,9
040050023022263,9
040050023022264,9
040050023022265,9
040050023022266,9
040050023022267,9
040050023022268,9
040050023022269,9
040050023022270,9
040050023022271,9
040050023022272,9
040050023022273,9
040050023022274,9
040050023022275,9
040050023022276,9
040050023022277,9
040050023022278,9
040050023022279,9
040050006012005,9
040050006012006,9
040050006012007,9
040050006012008,9
040050006012009,9
040050006012010,9
040050006012011,9
040050006012012,9
040050006012013,9
040050006012014,9
040050006012015,9
040050006012016,9
040050006021003,9
040050006021004,9
040050006021005,9
040050006021006,9
040050006021007,9
040050006021008,9
040050006021009,9
040050006021010,9
040050006021011,9
040050006021012,9
040050006021013,9
040050006021014,9
040050006021015,9
040050006021016,9
040050006021017,9
040050006021018,9
040050006021019,9
040050006021020,9
040050006021021,9
040050006021022,9
040050006021023,9
040050006021024,9
040050006021025,9
040050006021026,9
040050006021027,9
040050006021028,9
040050006021029,9
040050006021030,9
040050006021031,9
040050006021032,9
040050006021033,9
040050006021034,9
040050006021035,9
040050006021036,9
040050006021037,9
040050006021038,9
040050006021039,9
040050006021040,9
040050006021041,9
040050006021042,9
040050006021043,9
040050006021044,9
040050006021050,9
040050006021051,9
040050006021052,9
040050006021053,9
040050006021054,9
040050006021055,9
040050006021057,9
040050006021058,9
040050006021061,9
040050006021062,9
040050006021065,9
040050006021071,9
040050006021073,9
040050006021074,9
040050006022000,9
040050006022001,9
040050006022002,9
040050006022003,9
040050006022004,9
040050006022005,9
040050006022006,9
040050006022007,9
040050006022008,9
040050006022009,9
040050006022010,9
040050006022011,9
040050006022012,9
040050006022013,9
040050006022014,9
040050006022015,9
040050006022016,9
040050006022017,9
040050006022018,9
040050006022019,9
040050006022020,9
040050006022021,9
040050006022022,9
040050006022023,9
040050006022024,9
040050006022025,9
040050006022026,9
040050006022027,9
040050006022030,9
040050006022031,9
040050007001013,9
040050008005000,9
040050008005001,9
040050008005002,9
040050008005003,9
040050008005004,9
040050008005012,9
040050008005017,9
040050009021034,9
040050013021034,9
040050013021035,9
040050013021037,9
040050013021038,9
040050013021039,9
